Player,Team,Position,PTS_final,REB_final,AST_final,PTS_adj,REB_adj,AST_adj,PTS_bonus,REB_bonus,AST_bonus,TS%,eFG%,USG_proxy,MPG
Jalen Green,HOU,G,19.71686459627329,5.148,4.280571428571428,19.916024844720496,5.199999999999999,4.323809523809524,0.0,0.0,0.0,0.538,0.5036764705882353,0.1357142857142857,32.57142857142857
Anfernee Simons,POR,G,20.00346037267081,2.583428571428572,4.422000000000001,20.20551552795031,2.6095238095238096,4.466666666666667,0.0,0.0,0.0,0.554,0.521978021978022,0.1406746031746031,33.76190476190476
Victor Wembanyama,SAS,C-F,22.85895652173913,11.361428571428572,3.6111428571428568,23.089855072463767,11.476190476190476,3.647619047619047,0.0,0.0,0.0,0.569,0.5424710424710425,0.1399206349206349,33.58095238095238
Desmond Bane,MEM,G,22.04003180124224,6.119142857142858,4.912285714285715,22.262658385093168,6.180952380952381,4.961904761904762,0.0,0.0,0.0,0.606,0.5752032520325203,0.1411507936507936,33.87619047619047
John Collins,UTA,F,21.21343304347825,8.221714285714285,1.4802857142857144,21.42771014492753,8.304761904761904,1.4952380952380953,0.0,0.0,0.0,0.614,0.5762331838565022,0.1332936507936507,31.990476190476187
Josh Giddey,CHI,G,19.75592347826087,9.56057142857143,8.532857142857145,19.955478260869565,9.657142857142858,8.61904761904762,0.0,0.0,0.0,0.588,0.5319634703196348,0.1397619047619047,33.542857142857144
Kristaps Porzingis,BOS,F-C,21.81418881987578,6.628285714285715,2.1685714285714286,22.034534161490686,6.695238095238096,2.1904761904761902,0.0,0.0,0.0,0.629,0.5917874396135265,0.1221825396825396,29.323809523809523
Jaren Jackson Jr.,MEM,F,20.03300869565217,4.714285714285714,1.621714285714286,20.235362318840576,4.761904761904762,1.6380952380952385,0.0,0.0,0.0,0.563,0.5227272727272727,0.1291269841269841,30.990476190476187
Jaylen Brown,BOS,F-G,19.909617391304348,5.393142857142857,4.092,20.11072463768116,5.447619047619048,4.133333333333333,0.0,0.0,0.0,0.565,0.5171673819742489,0.1344047619047619,32.25714285714285
Andrew Wiggins,MIA,F-G,19.577895652173915,4.384285714285714,2.960571428571429,19.775652173913045,4.428571428571429,2.9904761904761905,0.0,0.0,0.0,0.581,0.5484581497797357,0.1337698412698413,32.10476190476191
Bam Adebayo,MIA,C-F,20.071870807453426,8.466857142857144,3.903428571428573,20.27461697722568,8.552380952380954,3.942857142857144,0.0,0.0,0.0,0.572,0.532051282051282,0.1425396825396825,34.209523809523816
Tyrese Haliburton,IND,G,21.84634434782609,3.5451428571428574,10.164000000000003,22.067014492753625,3.580952380952381,10.26666666666667,0.0,0.0,0.0,0.643,0.6073170731707317,0.1342063492063492,32.209523809523816
Darius Garland,CLE,G,18.39112546583852,3.582857142857143,6.798,18.576894409937896,3.61904761904762,6.866666666666666,0.0,0.0,0.0,0.558,0.5246913580246914,0.1316269841269841,31.590476190476195
Mikal Bridges,NYK,F-G,18.994718012422364,3.2340000000000004,4.8180000000000005,19.18658385093168,3.266666666666667,4.866666666666667,0.0,0.0,0.0,0.61,0.579185520361991,0.1499206349206349,35.98095238095238
De'Aaron Fox,SAS,G,18.36247900621118,4.450285714285716,6.345428571428571,18.547958592132503,4.495238095238096,6.409523809523809,0.0,0.0,0.0,0.533,0.4813278008298755,0.143531746031746,34.44761904761905
LaMelo Ball,CHO,G,18.26027329192547,4.572857142857142,7.410857142857144,18.44472049689441,4.619047619047619,7.485714285714287,0.0,0.0,0.0,0.512,0.462890625,0.1254761904761904,30.11428571428572
Collin Sexton,UTA,G,19.00327751552795,2.5457142857142863,4.459714285714287,19.1952298136646,2.571428571428572,4.504761904761906,0.0,0.0,0.0,0.576,0.5386363636363637,0.1136111111111111,27.26666666666667
Dejounte Murray,NOP,G,16.885046459627333,6.222857142857144,7.165714285714286,17.055602484472054,6.285714285714287,7.238095238095239,0.0,0.0,0.0,0.538,0.485042735042735,0.133531746031746,32.04761904761905
Julius Randle,MIN,F-C,20.59067180124224,6.562285714285715,4.733142857142858,20.798658385093173,6.628571428571429,4.780952380952382,0.0,0.0,0.0,0.653,0.6256544502617801,0.1306746031746032,31.361904761904764
Ivica Zubac,LAC,C,22.06002037267081,12.436285714285711,3.092571428571428,22.282848861283643,12.56190476190476,3.123809523809523,0.0,0.0,0.0,0.673,0.6505376344086021,0.1389285714285714,33.34285714285714
RJ Barrett,TOR,G-F,16.73609142857143,5.742000000000001,4.742571428571427,16.90514285714286,5.800000000000001,4.790476190476189,0.0,0.0,0.0,0.516,0.4957983193277311,0.1246825396825397,29.923809523809528
Stephon Castle,SAS,G,16.78321788819876,5.242285714285714,5.534571428571429,16.952745341614907,5.295238095238095,5.59047619047619,0.0,0.0,0.0,0.537,0.4863636363636364,0.1213492063492063,29.123809523809523
Alperen Sengun,HOU,C-F,17.718663354037275,10.446857142857146,4.686,17.897639751552802,10.552380952380954,4.733333333333333,0.0,0.0,0.0,0.543,0.4953917050691244,0.1349603174603174,32.39047619047619
Miles Bridges,CHO,G-F,18.233512546583857,6.797999999999998,4.016571428571428,18.4176894409938,6.866666666666665,4.057142857142857,0.0,0.0,0.0,0.528,0.4831223628691983,0.1276587301587301,30.638095238095243
