Player,Team,Position,PTS_final,REB_final,AST_final,PTS_adj,REB_adj,AST_adj,PTS_bonus,REB_bonus,AST_bonus,TS%,eFG%,USG_proxy,MPG,PTS_playoff_x,REB_playoff_x,AST_playoff_x,MPG_playoff_x,PTS_playoff_y,REB_playoff_y,AST_playoff_y,MPG_playoff_y,PTS_playoff,REB_playoff,AST_playoff,MPG_playoff
Victor Wembanyama,SAS,C-F,22.85895652173913,11.361428571428572,3.6111428571428568,11.252840869565217,5.592921428571429,1.7776671428571422,0.0,0.0,0.0,0.569,0.5424710424710425,0.1399206349206349,7.177928571428572,,,,,,,,,,,,
Desmond Bane,MEM,G,22.04003180124224,6.119142857142858,4.912285714285715,12.46355656397515,3.837587142857144,2.6581842857142863,0.0,0.0,0.0,0.606,0.5752032520325203,0.1411507936507936,7.241035714285714,9.0,2.0,0.0,,19.0,12.0,4.0,,,,,
John Collins,UTA,F,21.21343304347825,8.221714285714285,1.4802857142857144,10.442794539130434,4.047325714285714,0.7287042857142858,0.0,0.0,0.0,0.614,0.5762331838565022,0.1332936507936507,6.837964285714286,,,,,,,,,,,,
Josh Giddey,CHI,G,19.75592347826087,9.56057142857143,8.532857142857145,9.725302330434783,4.706408571428572,4.200492857142857,0.0,0.0,0.0,0.588,0.5319634703196348,0.1397619047619047,7.169785714285714,,,,,,,,,,,,
Kristaps Porzingis,BOS,F-C,21.81418881987578,6.628285714285715,2.1685714285714286,10.738530223602485,3.262924285714286,1.0675285714285714,0.0,0.0,0.0,0.629,0.5917874396135265,0.1221825396825396,6.267964285714286,,,,,,,,,,,,
Jaren Jackson Jr.,MEM,F,20.03300869565217,4.714285714285714,1.621714285714286,11.632303826086952,2.8386642857142856,0.9036257142857147,0.0,0.0,0.0,0.563,0.5227272727272727,0.1291269841269841,6.624214285714282,4.0,3.0,2.0,,26.0,6.0,0.0,,,,,
Jaylen Brown,BOS,F-G,19.909617391304348,5.393142857142857,4.092,21.703361652173918,6.668147142857142,3.319679999999999,0.0,0.0,0.0,0.565,0.5171673819742489,0.1344047619047619,6.894964285714284,16.0,5.0,2.0,,36.0,10.0,5.0,,23.0,6.0,3.0,
Andrew Wiggins,MIA,F-G,19.577895652173915,4.384285714285714,2.960571428571429,12.77476408695652,3.284164285714285,1.8927085714285716,0.0,0.0,0.0,0.581,0.5484581497797357,0.1337698412698413,6.862392857142858,14.0,6.0,2.0,,10.0,1.0,3.0,,,,,
Bam Adebayo,MIA,C-F,20.071870807453426,8.466857142857144,3.903428571428573,13.754434583850937,7.281852857142857,3.219501428571429,0.0,0.0,0.0,0.572,0.532051282051282,0.1425396825396825,7.312285714285715,24.0,9.0,3.0,,11.0,14.0,9.0,,,,,
Tyrese Haliburton,IND,G,21.84634434782609,3.5451428571428574,10.164000000000003,21.590859513043476,4.863727142857144,10.855260000000001,0.0,0.0,0.0,0.643,0.6073170731707317,0.1342063492063492,6.884785714285716,10.0,7.0,12.0,,21.0,5.0,12.0,,26.0,5.0,9.0,
Darius Garland,CLE,G,18.39112546583852,3.582857142857143,6.798,11.73499949068324,2.041692857142858,4.14972,0.0,0.0,0.0,0.558,0.5246913580246914,0.1316269841269841,6.752464285714286,27.0,3.0,5.0,,21.0,2.0,9.0,,,,,
Mikal Bridges,NYK,F-G,18.994718012422364,3.2340000000000004,4.8180000000000005,16.361781639751552,4.397310000000001,3.1270700000000002,0.0,0.0,0.0,0.61,0.579185520361991,0.1499206349206349,7.690928571428572,8.0,2.0,2.0,,19.0,5.0,0.0,,17.0,6.0,2.0,
De'Aaron Fox,SAS,G,18.36247900621118,4.450285714285716,6.345428571428571,9.039347619875775,2.1907542857142857,3.1236814285714285,0.0,0.0,0.0,0.533,0.4813278008298755,0.143531746031746,7.363178571428572,,,,,,,,,,,,
LaMelo Ball,CHO,G,18.26027329192547,4.572857142857142,7.410857142857144,8.98903453416149,2.251092857142857,3.6481628571428573,0.0,0.0,0.0,0.512,0.462890625,0.1254761904761904,6.436928571428573,,,,,,,,,,,,
Collin Sexton,UTA,G,19.00327751552795,2.5457142857142863,4.459714285714287,9.354795249689442,1.2531857142857148,2.1953957142857146,0.0,0.0,0.0,0.576,0.5386363636363637,0.1136111111111111,5.82825,,,,,,,,,,,,
Dejounte Murray,NOP,G,16.885046459627333,6.222857142857144,7.165714285714286,8.312047870807456,3.0633428571428585,3.527485714285715,0.0,0.0,0.0,0.538,0.485042735042735,0.133531746031746,6.850178571428572,,,,,,,,,,,,
Julius Randle,MIN,F-C,20.59067180124224,6.562285714285715,4.733142857142858,22.098626163975158,6.033684285714287,4.403247142857143,0.0,0.0,0.0,0.653,0.6256544502617801,0.1306746031746032,6.703607142857143,16.0,5.0,5.0,,27.0,4.0,6.0,,23.0,5.0,4.0,
Ivica Zubac,LAC,C,22.06002037267081,12.436285714285711,3.092571428571428,19.675196392546585,8.776494285714284,2.117688571428571,0.0,0.0,0.0,0.673,0.6505376344086021,0.1389285714285714,7.127035714285712,21.0,13.0,2.0,,16.0,12.0,4.0,,27.0,5.0,1.0,
RJ Barrett,TOR,G-F,16.73609142857143,5.742000000000001,4.742571428571427,8.238721371428573,2.8266300000000006,2.3346385714285707,0.0,0.0,0.0,0.516,0.4957983193277311,0.1246825396825397,6.396214285714286,,,,,,,,,,,,
Stephon Castle,SAS,G,16.78321788819876,5.242285714285714,5.534571428571429,8.261920442236026,2.5806342857142854,2.724518571428572,0.0,0.0,0.0,0.537,0.4863636363636364,0.1213492063492063,6.225214285714285,,,,,,,,,,,,
Alperen Sengun,HOU,C-F,17.718663354037275,10.446857142857146,4.686,19.511314732919256,10.326552857142858,5.77944,0.0,0.0,0.0,0.543,0.4953917050691244,0.1349603174603174,6.923464285714286,26.0,9.0,1.0,,17.0,16.0,7.0,,15.0,9.0,9.0,
Miles Bridges,CHO,G-F,18.233512546583857,6.797999999999998,4.016571428571428,8.97586094906833,3.34647,1.9772485714285712,0.0,0.0,0.0,0.528,0.4831223628691983,0.1276587301587301,6.54889285714286,,,,,,,,,,,,
Aaron Gordon,DEN,F,19.686201242236024,4.365428571428571,3.375428571428571,17.597229975155273,3.930181428571429,2.2742814285714283,0.0,0.0,0.0,0.688,0.6441176470588236,0.1268253968253968,6.506142857142858,25.0,8.0,1.0,,14.0,6.0,1.0,,23.0,4.0,2.0,
Pascal Siakam,IND,F-C,18.51899329192547,6.119142857142859,3.375428571428572,16.172645334161494,5.490837142857144,2.7969314285714293,0.0,0.0,0.0,0.563,0.547085201793722,0.133531746031746,6.850178571428572,25.0,7.0,2.0,,24.0,11.0,3.0,,10.0,4.0,1.0,
Evan Mobley,CLE,F-C,19.476313043478264,9.23057142857143,3.6017142857142863,13.811507739130441,6.322508571428571,2.035675714285715,0.0,0.0,0.0,0.606,0.59,0.1307936507936508,6.709714285714288,9.0,7.0,1.0,,20.0,6.0,1.0,,,,,
Immanuel Quickley,TOR,G,17.152686708074537,3.846857142857143,5.949428571428572,8.443799865838509,1.893702857142857,2.928741428571428,0.0,0.0,0.0,0.563,0.5116279069767442,0.1169444444444444,5.99925,,,,,,,,,,,,
